#       rho               z           Re density       Im density
     3.553459424     4.662351564      0.052837518      0.000000000
     3.553459424     5.292740862      0.040110800      0.000000000
     3.553459424     5.926563084      0.023962025      0.000000000
     3.553459424     6.564319719      0.010537271      0.000000000
     3.553459424     7.206550557      0.003319482      0.000000000
     3.553459424     7.853841317      0.000796568      0.000000000
     3.553459424     8.506832843      0.000179903      0.000000000
     3.553459424     9.166232324      0.000046931      0.000000000
     3.553459424     9.832827187      0.000011808      0.000000000
     3.553459424    10.507502518      0.000001965      0.000000000
     3.553459424    11.191263275      0.000000279      0.000000000
     3.553459424    11.885263031      0.000000132      0.000000000
     3.553459424    12.590841867      0.000000218      0.000000000
     3.553459424    13.309577325      0.000000200      0.000000000
     3.553459424    14.043354475      0.000000087      0.000000000
     3.553459424    14.794464838      0.000000020      0.000000000
     3.553459424    15.565750362      0.000000003      0.000000000
     3.553459424    16.360820723      0.000000000      0.000000000
     3.553459424    17.184396135      0.000000000      0.000000000
     3.553459424    18.042878718      0.000000000      0.000000000
     3.553459424    18.945374484      0.000000000      0.000000000
     3.553459424    19.905702258      0.000000000      0.000000000
     3.553459424    20.946907526      0.000000000      0.000000000
     3.553459424    22.113746483      0.000000000      0.000000000
     3.553459424    23.523522399      0.000000000      0.000000000
     4.176228811     0.309074472      0.063139873      0.000000000
     4.176228811     0.927406866      0.063107697      0.000000000
     4.176228811     1.546291032      0.062986721      0.000000000
     4.176228811     2.166099581      0.062658447      0.000000000
     4.176228811     2.787212382      0.061781017      0.000000000
     4.176228811     3.410019700      0.059435622      0.000000000
     4.176228811     4.034925580      0.053866169      0.000000000
     4.176228811     4.662351564      0.043403490      0.000000000
     4.176228811     5.292740862      0.028979978      0.000000000
     4.176228811     5.926563084      0.015009032      0.000000000
     4.176228811     6.564319719      0.005765783      0.000000000
     4.176228811     7.206550557      0.001653021      0.000000000
     4.176228811     7.853841317      0.000396925      0.000000000
     4.176228811     8.506832843      0.000100034      0.000000000
     4.176228811     9.166232324      0.000028164      0.000000000
     4.176228811     9.832827187      0.000006568      0.000000000
     4.176228811    10.507502518      0.000000990      0.000000000
     4.176228811    11.191263275      0.000000181      0.000000000
     4.176228811    11.885263031      0.000000150      0.000000000
     4.176228811    12.590841867      0.000000231      0.000000000
     4.176228811    13.309577325      0.000000173      0.000000000
     4.176228811    14.043354475      0.000000065      0.000000000
     4.176228811    14.794464838      0.000000013      0.000000000
     4.176228811    15.565750362      0.000000002      0.000000000
     4.176228811    16.360820723      0.000000000      0.000000000
     4.176228811    17.184396135      0.000000000      0.000000000
     4.176228811    18.042878718      0.000000000      0.000000000
     4.176228811    18.945374484      0.000000000      0.000000000
     4.176228811    19.905702258      0.000000000      0.000000000
     4.176228811    20.946907526      0.000000000      0.000000000
     4.176228811    22.113746483      0.000000000      0.000000000
     4.176228811    23.523522399      0.000000000      0.000000000
     4.801625587     0.309074472      0.062435968      0.000000000
     4.801625587     0.927406866      0.062230471      0.000000000
     4.801625587     1.546291032      0.061680692      0.000000000
     4.801625587     2.166099581      0.060435261      0.000000000
     4.801625587     2.787212382      0.057725963      0.000000000
     4.801625587     3.410019700      0.052300075      0.000000000
     4.801625587     4.034925580      0.043051158      0.000000000
     4.801625587     4.662351564      0.030480828      0.000000000
     4.801625587     5.292740862      0.017529161      0.000000000
     4.801625587     5.926563084      0.007808663      0.000000000
     4.801625587     6.564319719      0.002647441      0.000000000
     4.801625587     7.206550557      0.000720647      0.000000000
     4.801625587     7.853841317      0.000185936      0.000000000
     4.801625587     8.506832843      0.000053524      0.000000000
     4.801625587     9.166232324      0.000015256      0.000000000
     4.801625587     9.832827187      0.000003117      0.000000000
     4.801625587    10.507502518      0.000000465      0.000000000
     4.801625587    11.191263275      0.000000136      0.000000000
     4.801625587    11.885263031      0.000000183      0.000000000
     4.801625587    12.590841867      0.000000229      0.000000000
     4.801625587    13.309577325      0.000000140      0.000000000
     4.801625587    14.043354475      0.000000045      0.000000000
     4.801625587    14.794464838      0.000000008      0.000000000
     4.801625587    15.565750362      0.000000001      0.000000000
     4.801625587    16.360820723      0.000000000      0.000000000
     4.801625587    17.184396135      0.000000000      0.000000000
     4.801625587    18.042878718      0.000000000      0.000000000
     4.801625587    18.945374484      0.000000000      0.000000000
     4.801625587    19.905702258      0.000000000      0.000000000
     4.801625587    20.946907526      0.000000000      0.000000000
     4.801625587    22.113746483      0.000000000      0.000000000
     4.801625587    23.523522399      0.000000000      0.000000000
     5.430071573     0.309074472      0.058983684      0.000000000
     5.430071573     0.927406866      0.058239582      0.000000000
     5.430071573     1.546291032      0.056476296      0.000000000
     5.430071573     2.166099581      0.053141978      0.000000000
     5.430071573     2.787212382      0.047490977      0.000000000
     5.430071573     3.410019700      0.039021289      0.000000000
     5.430071573     4.034925580      0.028276151      0.000000000
     5.430071573     4.662351564      0.017257111      0.000000000
     5.430071573     5.292740862      0.008500538      0.000000000
     5.430071573     5.926563084      0.003296643      0.000000000
     5.430071573     6.564319719      0.001029069      0.000000000
     5.430071573     7.206550557      0.000288518      0.000000000
     5.430071573     7.853841317      0.000085562      0.000000000
     5.430071573     8.506832843      0.000027025      0.000000000
     5.430071573     9.166232324      0.000007099      0.000000000
     5.430071573     9.832827187      0.000001255      0.000000000
     5.430071573    10.507502518      0.000000229      0.000000000
     5.430071573    11.191263275      0.000000135      0.000000000
     5.430071573    11.885263031      0.000000217      0.000000000
     5.430071573    12.590841867      0.000000208      0.000000000
     5.430071573    13.309577325      0.000000103      0.000000000
     5.430071573    14.043354475      0.000000029      0.000000000
     5.430071573    14.794464838      0.000000005      0.000000000
     5.430071573    15.565750362      0.000000000      0.000000000
     5.430071573    16.360820723      0.000000000      0.000000000
     5.430071573    17.184396135      0.000000000      0.000000000
     5.430071573    18.042878718      0.000000000      0.000000000
     5.430071573    18.945374484      0.000000000      0.000000000
     5.430071573    19.905702258      0.000000000      0.000000000
     5.430071573    20.946907526      0.000000000      0.000000000
     5.430071573    22.113746483      0.000000000      0.000000000
     5.430071573    23.523522399      0.000000000      0.000000000
     6.062022412     0.309074472      0.048311031      0.000000000
     6.062022412     0.927406866      0.046763376      0.000000000
     6.062022412     1.546291032      0.043487360      0.000000000
     6.062022412     2.166099581      0.038263486      0.000000000
     6.062022412     2.787212382      0.031114808      0.000000000
     6.062022412     3.410019700      0.022669289      0.000000000
     6.062022412     4.034925580      0.014280415      0.000000000
     6.062022412     4.662351564      0.007513899      0.000000000
     6.062022412     5.292740862      0.003227156      0.000000000
     6.062022412     5.926563084      0.001142452      0.000000000
     6.062022412     6.564319719      0.000358949      0.000000000
     6.062022412     7.206550557      0.000114183      0.000000000
     6.062022412     7.853841317      0.000038852      0.000000000
     6.062022412     8.506832843      0.000012081      0.000000000
     6.062022412     9.166232324      0.000002701      0.000000000
     6.062022412     9.832827187      0.000000466      0.000000000
     6.062022412    10.507502518      0.000000141      0.000000000
     6.062022412    11.191263275      0.000000170      0.000000000
     6.062022412    11.885263031      0.000000233      0.000000000
     6.062022412    12.590841867      0.000000170      0.000000000
     6.062022412    13.309577325      0.000000068      0.000000000
     6.062022412    14.043354475      0.000000016      0.000000000
     6.062022412    14.794464838      0.000000002      0.000000000
     6.062022412    15.565750362      0.000000000      0.000000000
     6.062022412    16.360820723      0.000000000      0.000000000
     6.062022412    17.184396135      0.000000000      0.000000000
     6.062022412    18.042878718      0.000000000      0.000000000
     6.062022412    18.945374484      0.000000000      0.000000000
