#       rho               z           Re density       Im density
     4.801625587     0.927406866      0.087414718      0.000000000
     4.801625587     1.546291032      0.086107516      0.000000000
     4.801625587     2.166099581      0.083812858      0.000000000
     4.801625587     2.787212382      0.079957744      0.000000000
     4.801625587     3.410019700      0.073459504      0.000000000
     4.801625587     4.034925580      0.062958970      0.000000000
     4.801625587     4.662351564      0.048174413      0.000000000
     4.801625587     5.292740862      0.031470003      0.000000000
     4.801625587     5.926563084      0.017027998      0.000000000
     4.801625587     6.564319719      0.007627739      0.000000000
     4.801625587     7.206550557      0.002951636      0.000000000
     4.801625587     7.853841317      0.001070976      0.000000000
     4.801625587     8.506832843      0.000392107      0.000000000
     4.801625587     9.166232324      0.000145444      0.000000000
     4.801625587     9.832827187      0.000052532      0.000000000
     4.801625587    10.507502518      0.000018402      0.000000000
     4.801625587    11.191263275      0.000006493      0.000000000
     4.801625587    11.885263031      0.000002344      0.000000000
     4.801625587    12.590841867      0.000000811      0.000000000
     4.801625587    13.309577325      0.000000235      0.000000000
     4.801625587    14.043354475      0.000000050      0.000000000
     4.801625587    14.794464838      0.000000007      0.000000000
     4.801625587    15.565750362      0.000000001      0.000000000
     4.801625587    16.360820723      0.000000000      0.000000000
     4.801625587    17.184396135      0.000000000      0.000000000
     4.801625587    18.042878718      0.000000000      0.000000000
     4.801625587    18.945374484      0.000000000      0.000000000
     4.801625587    19.905702258      0.000000000      0.000000000
     4.801625587    20.946907526      0.000000000      0.000000000
     4.801625587    22.113746483      0.000000000      0.000000000
     4.801625587    23.523522399      0.000000000      0.000000000
     5.430071573     0.309074472      0.081639548      0.000000000
     5.430071573     0.927406866      0.080626591      0.000000000
     5.430071573     1.546291032      0.078384391      0.000000000
     5.430071573     2.166099581      0.074428344      0.000000000
     5.430071573     2.787212382      0.067993400      0.000000000
     5.430071573     3.410019700      0.058321316      0.000000000
     5.430071573     4.034925580      0.045461545      0.000000000
     5.430071573     4.662351564      0.031095447      0.000000000
     5.430071573     5.292740862      0.018151003      0.000000000
     5.430071573     5.926563084      0.008962009      0.000000000
     5.430071573     6.564319719      0.003827635      0.000000000
     5.430071573     7.206550557      0.001498795      0.000000000
     5.430071573     7.853841317      0.000576982      0.000000000
     5.430071573     8.506832843      0.000224737      0.000000000
     5.430071573     9.166232324      0.000086263      0.000000000
     5.430071573     9.832827187      0.000031863      0.000000000
     5.430071573    10.507502518      0.000011565      0.000000000
     5.430071573    11.191263275      0.000004267      0.000000000
     5.430071573    11.885263031      0.000001582      0.000000000
     5.430071573    12.590841867      0.000000538      0.000000000
     5.430071573    13.309577325      0.000000147      0.000000000
     5.430071573    14.043354475      0.000000029      0.000000000
     5.430071573    14.794464838      0.000000004      0.000000000
     5.430071573    15.565750362      0.000000000      0.000000000
     5.430071573    16.360820723      0.000000000      0.000000000
     5.430071573    17.184396135      0.000000000      0.000000000
     5.430071573    18.042878718      0.000000000      0.000000000
     5.430071573    18.945374484      0.000000000      0.000000000
     5.430071573    19.905702258      0.000000000      0.000000000
     5.430071573    20.946907526      0.000000000      0.000000000
     5.430071573    22.113746483      0.000000000      0.000000000
     5.430071573    23.523522399      0.000000000      0.000000000
     6.062022412     0.309074472      0.068924721      0.000000000
     6.062022412     0.927406866      0.067172086      0.000000000
